Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Neecha Nagar,1946,122,Drama,6.8,182,Chetan Anand,Rafiq Anwar,Uma Anand,Kamini Kaushal
Shahjehan,1946,121,"Drama, History, Romance",6.9,30,Abdul Rashid Kardar,K.L. Saigal,Ragini,Rehman
Valmiki,1946,98,Drama,7,18,Bhalji Pendharkar,Shanta Apte,Pratima Devi,Vinay Kale
Dil-Ki-Rani (Sweet-Heart),1947,130,"Comedy, Romance",7.4,64,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder
Dr. Kotnis Ki Amar Kahani,1947,124,"Biography, Drama, War",6.8,77,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Jayashree,Keshavrao Date
Elan,1947,133,Drama,6.2,12,Mehboob Khan,Surendra,Munawwar Sultana,Mohammad Afzal
Neel Kamal,1947,116,"Drama, Musical, Romance",7.7,75,Kidar Nath Sharma,Begum Para,Raj Kapoor,Madhubala
Shakuntala,1947,76,Drama,6.7,6,Shantaram Rajaram Vankudre,Kumar Ganesh,Jayashree,Chandra Mohan
Shehnai,1947,133,Romance,4.2,5,P.L. Santoshi,Rehana,Indumati,Nasir Khan
Aag,1948,138,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Anokhi Ada,1948,141,"Drama, Musical, Romance",6.4,26,Mehboob Khan,Naseem Banu,Surendra,Prem Adib
Chandra,1948,207,Drama,6.9,39,S.S. Vasan,Rajkumari,M.K. Radha,Ranjan
Ghar Ki Izzat,1948,136,"Drama, Family",5.7,24,Ram Daryani,Mumtaz Shanti,Jeevan,Gope
Gopinath,1948,155,Drama,7.4,38,Mahesh Kaul,Latika,Raj Kapoor,Tripti Mitra
Kalpana,1948,122,Musical,6.7,39,Uday Shankar,Lakshmi Kanta,Usha Kiran,Lalitha
Mela,1948,152,"Family, Romance, Drama",7.5,98,S.U. Sunny,Nargis,Dilip Kumar,Jeevan
Nadiya Ke Paar,1948,126,Drama,6.8,46,Kishore Sahu,Dilip Kumar,Kamini Kaushal,David Abraham
Shaheed,1948,164,"Drama, Romance",7.2,74,Ramesh Saigal,Dilip Kumar,Kamini Kaushal,Chandra Mohan
Sohag Raat,1948,143,"Drama, Romance",7.2,6,Kidar Nath Sharma,Begum Para,Bharat Bhushan,Geeta Bali
Andaz,1949,148,"Musical, Drama, Crime",7.2,498,Mehboob Khan,Nargis,Dilip Kumar,V.H. Desai
Barsaat,1949,171,"Drama, Romance, Musical",7.7,596,Raj Kapoor,Nargis,Raj Kapoor,Prem Nath
Bazaar,1949,148,"Drama, Family",6.8,6,K. Amarnath,Nigar Sultana,Shyam,Gope
Darogaji,1949,123,"Crime, Drama, Romance",7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj,Rashid Khan
Dulari,1949,133,"Musical, Romance",6.5,31,Abdul Rashid Kardar,Suresh,Shyam Kumar,Madhubala
Ek Thi Larki,1949,164,Drama,6.9,18,Roop K. Shorey,Meena Shorey,Motilal,Kuldip Kaur
Kaneez,1949,140,"Drama, History",6.2,5,Krishna Kumar,Munawwar Sultana,Shyam,Urmila
Mahal,1949,165,"Drama, Horror, Mystery",7.1,387,Kamal Amrohi,Ashok Kumar,Madhubala,M. Kumar
Mischief,1949,120,"Drama, Family",7.1,12,Abdul Rashid Kardar,Suraiya,Shyam,Sharda
Patanga,1949,143,"Comedy, Romance",6.4,26,Harnam Singh Rawail,Nigar Sultana,Shyam,Raj Mehra
Shabnam,1949,154,"Drama, Family, Romance",6.6,32,Bibhuti Mitra,Dilip Kumar,Shyama,Cuckoo
Shair,1949,138,Romance,7.1,21,Chawla,Suraiya,Dev Anand,Kamini Kaushal
Sunehre Din,1949,143,Drama,6.6,30,Satish Nigam,Raj Kapoor,Rehana,Roopkamal
Aadhi Raat,1950,115,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Afsar,1950,121,"Comedy, Romance",7.1,19,Chetan Anand,Dev Anand,Suraiya,Ruma Guha Thakurta
Arzoo,1950,128,"Musical, Romance",7,49,Shaheed Latif,Kamini Kaushal,Dilip Kumar,Shashikala
Babul,1950,142,Drama,7.3,72,S.U. Sunny,Nargis,Dilip Kumar,Amar
Banwra,1950,148,Drama,6,6,G. Rakesh,Raj Kapoor,Lalita Pawar,Nimmi
Bawre Nain,1950,138,"Drama, Romance",6.9,36,Kidar Nath Sharma,Raj Kapoor,Geeta Bali,Vijayalaxmi
Dahej,1950,149,Drama,6.3,15,Shantaram Rajaram Vankudre,Mumtaz Begum,Karan Dewan,Jayashree
Dastan,1950,122,"Drama, Family, Romance",6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor,Veena
Dharti Ke Lal,1950,125,"Drama, History",6.4,16,Khwaja Ahmad Abbas,Rashid Ahmed,Hameed Butt,Usha Dutta
Dilruba,1950,123,"Crime, Drama, Mystery",7.1,30,Dwarka Khosla,Rehana,Dev Anand,Cuckoo
Har Har Mahadev,1950,137,Fantasy,6.4,8,Jayant Desai,Nirupa Roy,Trilok Kapoor,Jeevan
Jan Pahchan,1950,114,"Drama, Romance",7.1,61,Fali Mistry,Nargis,Raj Kapoor,Jeevan
Jogan,1950,116,"Drama, Musical, Romance",7.4,80,Kidar Nath Sharma,Nargis,Dilip Kumar,Pratima Devi
Mashaal,1950,136,Drama,6.2,5,Nitin Bose,Ashok Kumar,Sumitra Devi,Ruma Guha Thakurta
Samadhi,1950,165,Drama,6.9,34,Ramesh Saigal,Ashok Kumar,Nalini Jaywant,Kuldip Kaur
Sangram,1950,139,Drama,6.7,30,Gyan Mukherjee,Ashok Kumar,Nalini Jaywant,Shashi Kapoor
Sargam,1950,135,"Drama, Family",6.9,33,P.L. Santoshi,Raj Kapoor,Rehana,Om Prakash
Sheesh Mahal,1950,144,Drama,7.4,15,Sohrab Modi,Sohrab Modi,Naseem Banu,Pushpa Hans
Afsana,1951,168,"Drama, Family",7.8,57,B.R. Chopra,Ashok Kumar,Veena,Jeevan
Albela,1951,158,"Comedy, Drama, Musical",7,82,Master Bhagwan,Geeta Bali,Master Bhagwan,Badri Prasad
Awaara,1951,193,"Drama, Musical, Romance",7.9,3813,Raj Kapoor,Raj Kapoor,Nargis,Prithviraj Kapoor
Baazi,1951,143,"Crime, Drama, Musical",7.3,343,Guru Dutt,Dev Anand,Geeta Bali,Kalpana Kartik
Badal,1951,146,"Action, Romance",6.7,34,Amiya Chakrabarty,Madhubala,Prem Nath,Purnima
Bahar,1951,170,Drama,5.7,18,M.V. Raman,Karan Dewan,Vyjayanthimala,Pran
Deedar,1951,130,"Musical, Romance",7.6,198,Nitin Bose,Nargis,Ashok Kumar,Dilip Kumar
Dholak,1951,155,"Comedy, Romance",6.3,6,Roop K. Shorey,Ajit,Meena Shorey,Shyamlal
Hum Log,1951,144,Drama,6.5,15,Zia Sarhadi,Nutan,Shyama,Durga Khote
Jai Mahakali,1951,162,Fantasy,7.2,5,Dhirubhai Desai,Nirupa Roy,Shahu Modak,Ulhas
Kali Ghata,1951,145,"Drama, Romance",6.3,9,Kishore Sahu,Kishore Sahu,Bina Rai,Asha Mathur
Naujawan,1951,130,Drama,5.6,13,Mahesh Kaul,Nalini Jaywant,Prem Nath,Nawab Kashmiri
Rajput,1951,120,"Action, Drama",6.4,10,Lekhraj Bhakri,Paidi Jairaj,Suraiya,Kuldip Kaur
Sagai,1951,129,Drama,6.1,10,Harnam Singh Rawail,Prem Nath,Rehana,Hiralal
Sazaa,1951,111,"Drama, Family",6.2,36,Fali Mistry,Dev Anand,Nimmi,Shyama
Aandhiyan,1952,136,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
Aladdin and the Wonderful Lamp,1952,144,"Adventure, Fantasy",5.9,15,Homi Wadia,Mahipal,Meena Kumari,S.N. Tripathi
Amber,1952,141,"Action, Adventure, Drama",6.9,65,Jayant Desai,Nargis,Raj Kapoor,Agha
Anand Math,1952,176,"Biography, Drama, History",7.6,85,Hemen Gupta,Prithviraj Kapoor,Geeta Bali,Ranjana
Anhonee,1952,155,"Drama, Romance, Thriller",7.2,77,Khwaja Ahmad Abbas,Nargis,Raj Kapoor,Agha
Ashiana,1952,104,"Drama, Romance",7.6,49,B. Trilochan,Nargis,Raj Kapoor,Shivraj
Baiju Bawra,1952,165,"Drama, Musical, Romance",7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra
Bewafa,1952,112,"Drama, Romance",7.6,80,M.L. Anand,Nargis,Ashok Kumar,Raj Kapoor
Chhatrapati Shivaji,1952,170,"Drama, History",8.3,39,Bhalji Pendharkar,Parshwanath Yeshwant Altekar,Chandrakant,Gajanan Jagirdar
Daag,1952,149,"Drama, Romance",7,159,Amiya Chakrabarty,Dilip Kumar,Nimmi,Usha Kiran
Jaal,1952,165,"Crime, Thriller",7.2,115,Guru Dutt,Dev Anand,Geeta Bali,K.N. Singh
Mr. Sampat,1952,165,Comedy,7.4,27,S.S. Vasan,Motilal,Padmini,Kanhaiyalal Chaturvedi
Raja Harishchandra,1952,146,History,6,7,Raman B. Desai,Prem Adib,Sumitra Devi,Bipin Gupta
Sangdil,1952,150,"Drama, Mystery, Romance",7.3,96,R.C. Talwar,Madhubala,Dilip Kumar,Shammi
Tamasha,1952,127,Drama,7.6,38,Phani Majumdar,Dev Anand,Meena Kumari,Bipin Gupta
The Savage Princess,1952,101,"Action, Adventure, Drama",7,280,Mehboob Khan,Dilip Kumar,Nimmi,Prem Nath
Aah,1953,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Alif-Laila,1953,135,Fantasy,6.3,11,K. Amarnath,Nimmi,Asha Mathur,Pran
Anarkali,1953,175,"History, Musical, Romance",7.2,72,Nandlal Jaswantlal,Bina Rai,Pradeep Kumar,Kuldip Kaur
Armaan,1953,130,"Drama, Family",6.8,19,Fali Mistry,Dev Anand,Madhubala,Shakila
Baaz,1953,140,"Action, Adventure, Musical",7.3,93,Guru Dutt,Guru Dutt,Geeta Bali,K.N. Singh
Daaera,1953,139,Drama,6.5,32,Kamal Amrohi,Meena Kumari,Nasir Khan,M. Kumar
Dil-E-Nadan,1953,142,Romance,6.7,10,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar
Do Bigha Zamin,1953,131,Drama,8.4,1857,Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar
Foot Path,1953,148,"Comedy, Crime, Drama",7.5,57,Zia Sarhadi,Dilip Kumar,Meena Kumari,Ramesh Thapar
Jhansi Ki Rani,1953,97,"Biography, Drama, History",6.9,89,Sohrab Modi,Mehtab,Sohrab Modi,Mubarak
Ladki,1953,161,Comedy,5.9,16,M.V. Raman,Vyjayanthimala,Anjali Devi,Bharat Bhushan
Laila Majnu,1953,132,Romance,8,25,K. Amarnath,Shammi Kapoor,Nutan,Ulhas
Naulakha Haar,1953,120,"Drama, History",6.2,8,Harsukh Jagneshwar Bhatt,Bhalchandra Shukla,Arvind,Ishwarlal
Papi,1953,111,"Crime, Drama",7.6,53,Chandulal Shah,Nargis,Raj Kapoor,Dulari
Patita,1953,143,Drama,7.8,64,Amiya Chakrabarty,Dev Anand,Usha Kiran,Agha
Rahi,1953,139,Drama,7,28,Khwaja Ahmad Abbas,Dev Anand,Nalini Jaywant,Balraj Sahni
Shahenshah,1953,123,Action,4.6,9,Amiya Chakrabarty,Ranjan,Shakila,K.N. Singh
Shikast,1953,110,Drama,7,41,Ramesh Saigal,Dilip Kumar,Nalini Jaywant,Durga Khote
The Fiancee,1953,151,"Drama, Romance",6.9,137,Bimal Roy,Ashok Kumar,Meena Kumari,Asitbaran
Thokar,1953,140,"Drama, Family",7.3,13,Lekhraj Bhakri,Shammi Kapoor,Shyama,Ravindra Kapoor
Aar-Paar,1954,146,"Musical, Romance, Thriller",6.6,250,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
Adhikar,1954,126,"Comedy, Drama, Romance",6.7,13,Mohan Segal,Usha Kiran,Kishore Kumar,Yashodra Katju
Alibaba and 40 Thieves,1954,145,"Action, Adventure, Drama",6.2,46,Homi Wadia,Shakila,Mahipal,B.M. Vyas
Amar,1954,149,"Drama, Musical, Romance",6.8,162,Mehboob Khan,Madhubala,Nimmi,Dilip Kumar
Bahut Din Huwe...,1954,168,"Adventure, Drama, Fantasy",6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha
Biraj Bahu,1954,145,Drama,6.2,51,Bimal Roy,Kamini Kaushal,Abhi Bhattacharya,Shakuntala
Boot Polish,1954,90,"Comedy, Drama, Family",8,780,Prakash Arora,Kumari Naaz,Ratan Kumar,David Abraham
Chor Bazar,1954,127,"Action, Drama",6.1,24,Prem Narayan Arora,Shammi Kapoor,Sumitra Devi,Chitra
'Ferry',1954,128,"Drama, Family",5.8,28,Hemen Gupta,Dev Anand,Archana,Babu
Ilzam,1954,133,"Drama, Family, Romance",6.1,7,R.C. Talwar,Kishore Kumar,Meena Kumari,Jagdish Kanwal
Mayurpankh,1954,106,"Adventure, Drama, Musical",5.9,16,Kishore Sahu,Kishore Sahu,Sumitra Devi,Odette Ferguson
Mirza Ghalib,1954,145,"Biography, Drama, Musical",7,103,Sohrab Modi,Bharat Bhushan,Suraiya,Nigar Sultana
Nagin,1954,139,"Drama, Musical, Romance",6.7,61,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Jeevan
Nastik,1954,148,"Comedy, Crime, Drama",6.2,32,I.S. Johar,Nalini Jaywant,Ajit,Ulhas
Radha Krishna,1954,120,Fantasy,7.9,7,Raja Nene,Kamini Kaushal,Ratan Kumar,Agha
Shama Parwana,1954,147,"Drama, Romance",6.6,23,D.D. Kashyap,Suraiya,Shammi Kapoor,Mubarak
Subah Ka Tara,1954,107,Romance,5.4,9,Shantaram Rajaram Vankudre,Pradeep Kumar,Shantaram Rajaram Vankudre,Jayshree Gadkar
Taxi Driver,1954,133,"Musical, Romance",6.9,257,Chetan Anand,Dev Anand,Kalpana Kartik,Sheila Ramani
Waris,1954,122,"Drama, Family",6.4,9,Nitin Bose,Talat Mahmood,Suraiya,Nadira
Abe Hayat,1955,140,"Action, Adventure, Fantasy",4.8,21,Ramanlal Desai,Prem Nath,Ameeta,Shashikala
Adil-E-Jahangir,1955,150,Drama,5,8,G.P. Sippy,Pradeep Kumar,Meena Kumari,D.K. Sapru
Azaad,1955,163,"Action, Adventure, Comedy",7.2,136,Sriramulu Naidu S.M.,Dilip Kumar,Meena Kumari,Pran
Baap Re Baap,1955,130,"Comedy, Drama, Family",6.4,28,Abdul Rashid Kardar,Kishore Kumar,Chand Usmani,Smriti Biswas
Bandish,1955,129,"Comedy, Drama, Musical",7.1,17,Satyen Bose,Ashok Kumar,Meena Kumari,Daisy Irani
Bara-Dari,1955,129,"Musical, Romance",6.2,18,K. Amarnath,Geeta Bali,Ajit,Pran
Char Paise,1955,118,"Action, Crime, Drama",5.6,11,N.K. Ziree,Shyama,Kishore Kumar,Agha
Devdas,1955,159,"Drama, Musical, Romance",7.9,1731,Bimal Roy,Dilip Kumar,Suchitra Sen,Vyjayanthimala
Garam Coat,1955,129,Drama,7.3,15,Amar Kumar,Nirupa Roy,Jayant,Rashid Khan
Insaniyat,1955,185,"Action, Drama, Romance",7.4,79,S.S. Vasan,Dilip Kumar,Dev Anand,Bina Rai
Jagriti,1955,138,"Comedy, Drama, Family",6.8,140,Satyen Bose,Abhi Bhattacharya,Pranoti Ghosh,Bipin Gupta
Jhanak Jhanak Payal Baaje,1955,143,"Drama, Musical, Romance",6.5,105,Shantaram Rajaram Vankudre,Gopi Krishna,Sandhya,Keshavrao Date
Kundan,1955,150,"Crime, Drama",6.5,16,Sohrab Modi,Sohrab Modi,Sunil Dutt,Nimmi
Marine Drive,1955,132,"Action, Crime, Drama",6.4,16,G.P. Sippy,Bina Rai,Ajit,K.N. Singh
Mr. & Mrs. '55,1955,157,"Comedy, Musical, Romance",7.2,500,Guru Dutt,Madhubala,Guru Dutt,Lalita Pawar
Munimji,1955,163,"Comedy, Musical, Romance",7.4,94,Subodh Mukherji,Dev Anand,Nalini Jaywant,Ameeta
Naqab,1955,130,Romance,8.6,16,Lekhraj Bhakri,Shammi Kapoor,Madhubala,Ajit
Naukari,1955,142,"Drama, Family",7.4,103,Bimal Roy,Kishore Kumar,Sheila Ramani,Balraj Sahni
Pehli Jhalak,1955,156,"Action, Comedy, Crime",6.4,18,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
Railway Platform,1955,162,"Comedy, Drama, Romance",7.2,24,Ramesh Saigal,Nalini Jaywant,Sheila Ramani,Johnny Walker
Seema,1955,140,Drama,6.8,103,Amiya Chakrabarty,Nutan,Balraj Sahni,Sunder
Shree 420,1955,168,"Comedy, Crime, Drama",8,2612,Raj Kapoor,Nargis,Raj Kapoor,Nadira
Tangewali,1955,120,"Drama, Family",8.4,5,Lekhraj Bhakri,Shammi Kapoor,Balraj Sahni,Anita Guha
Uran Khatola,1955,151,"Comedy, Fantasy, Musical",7.4,64,S.U. Sunny,Dilip Kumar,Nimmi,Surya Kumari
Vachan,1955,118,Drama,5.3,18,Raj Rishi,Geeta Bali,Balraj,Rajendra Kumar
Aawaz,1956,146,Romance,5.1,7,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
Basant Bahar,1956,150,"Drama, Musical, Romance",7.1,32,Raja Nawathe,Bharat Bhushan,Nimmi,Kumkum
Bhagam Bhag,1956,101,"Action, Comedy, Crime",6,21,Master Bhagwan,Kishore Kumar,Shashikala,Smriti Biswas
Bhai-Bhai,1956,164,Drama,5.8,15,M.V. Raman,Ashok Kumar,Kishore Kumar,Nimmi
C.I.D.,1956,146,"Action, Crime, Musical",7.3,647,Raj Khosla,Dev Anand,Shakila,Johnny Walker
Chori Chori,1956,158,"Comedy, Musical, Romance",7.7,475,Anant Thakur,Nargis,Raj Kapoor,Gope
Devta,1956,178,"Adventure, Drama",5.7,16,Pattanna,Vyjayanthimala,Anjali Devi,Gemini Ganesan
Ek-Hi-Rasta,1956,151,Drama,6.9,52,B.R. Chopra,Ashok Kumar,Meena Kumari,Sunil Dutt
Ghulam Begum Badshah,1956,124,"Drama, History",6.6,5,Jugal Kishore,Daljeet,Malika,Nishi
Halaku,1956,122,"Adventure, Drama, Musical",6.8,36,D.D. Kashyap,Meena Kumari,Ajit,Pran
Ham Sab Chor Hain,1956,117,Comedy,6.4,28,I.S. Johar,I.S. Johar,Majnu,Shammi Kapoor
Kismet Ka Khel,1956,137,"Action, Crime, Drama",6.1,10,Kishore Sahu,Sunil Dutt,Vyjayanthimala,Begum Para
Mem Sahib,1956,113,"Comedy, Drama, Romance",7.2,36,R.C. Talwar,Meena Kumari,Shammi Kapoor,Pratima Devi
Naya Andaz,1956,142,Romance,5.8,12,K. Amarnath,Kishore Kumar,Meena Kumari,Kumkum
New Delhi,1956,176,"Comedy, Drama, Musical",7.4,62,Mohan Segal,Kishore Kumar,Vyjayanthimala,Jabeen Jalil
Paisa Hi Paisa,1956,88,Comedy,6.5,11,Mehrish,Kishore Kumar,Mala Sinha,Shakila
Raj Hath,1956,136,"Adventure, Drama, Romance",6.2,16,Sohrab Modi,Madhubala,Pradeep Kumar,Ulhas
Sheikh Chilli,1956,112,"Action, Adventure, Comedy",5.4,9,Ramchandra Thakur,Master Bhagwan,Shyama,Mahipal
Some Where in Delhi,1956,128,"Comedy, Drama, Romance",5.1,9,M. Sadiq,Harbans Darshan M. Arora,Ram Avtar,S.N. Banerjee
